Document,Topic Distribution
0,"[(2, 0.9779209)]"
1,"[(1, 0.6751389), (4, 0.31710735)]"
2,"[(1, 0.9394173), (4, 0.056499258)]"
3,"[(2, 0.99085873)]"
4,"[(0, 0.9934914)]"
5,"[(3, 0.7799948), (4, 0.21336631)]"
6,"[(1, 0.99153084)]"
7,"[(0, 0.9930602)]"
8,"[(1, 0.9898066)]"
9,"[(2, 0.99207634)]"
10,"[(2, 0.9935185)]"
11,"[(2, 0.99403024)]"
12,"[(1, 0.99653757)]"
13,"[(1, 0.26637724), (4, 0.7247616)]"
14,"[(3, 0.993674)]"
15,"[(4, 0.9932206)]"
16,"[(3, 0.99375623)]"
17,"[(3, 0.70322865), (4, 0.29209504)]"
18,"[(2, 0.9941061)]"
19,"[(0, 0.9948798)]"
20,"[(2, 0.99372375)]"
21,"[(4, 0.9936572)]"
22,"[(2, 0.99359167)]"
23,"[(3, 0.9926856)]"
24,"[(0, 0.9920637)]"
25,"[(3, 0.6845075), (4, 0.3019294)]"
26,"[(1, 0.9941724)]"
27,"[(1, 0.9937851)]"
28,"[(1, 0.99462605)]"
29,"[(4, 0.97868025)]"
30,"[(4, 0.9868188)]"
31,"[(3, 0.9929196)]"
32,"[(2, 0.9771943)]"
33,"[(2, 0.6488004), (4, 0.3468134)]"
34,"[(2, 0.9760509)]"
35,"[(2, 0.9915723)]"
36,"[(2, 0.99354583)]"
37,"[(1, 0.99331474)]"
38,"[(4, 0.99188733)]"
39,"[(2, 0.99264735)]"
40,"[(4, 0.9924857)]"
41,"[(1, 0.569073), (4, 0.4259923)]"
42,"[(0, 0.9830445)]"
43,"[(1, 0.5170001), (4, 0.4777756)]"
44,"[(0, 0.989794)]"
45,"[(3, 0.9959025)]"
46,"[(1, 0.99371576)]"
47,"[(1, 0.99327135)]"
48,"[(0, 0.9929416)]"
49,"[(0, 0.9953731)]"
50,"[(1, 0.992264)]"
51,"[(0, 0.9946964)]"
52,"[(3, 0.9922718)]"
53,"[(2, 0.9949185)]"
54,"[(1, 0.9805536)]"
55,"[(3, 0.99583995)]"
56,"[(4, 0.99494773)]"
57,"[(3, 0.9939716)]"
58,"[(0, 0.99339736)]"
59,"[(2, 0.98545367)]"
60,"[(4, 0.9937785)]"
61,"[(3, 0.9870235)]"
62,"[(2, 0.99304414)]"
63,"[(4, 0.99108726)]"
64,"[(0, 0.6089782), (4, 0.38654062)]"
65,"[(1, 0.99505097)]"
66,"[(4, 0.9906348)]"
67,"[(1, 0.91030484), (3, 0.08533207)]"
68,"[(3, 0.9939336)]"
69,"[(3, 0.65853786), (4, 0.3363835)]"
70,"[(1, 0.99327666)]"
71,"[(4, 0.9952882)]"
72,"[(2, 0.9956334)]"
73,"[(1, 0.9946476)]"
74,"[(1, 0.99449956)]"
75,"[(4, 0.99396205)]"
76,"[(4, 0.979276)]"
77,"[(0, 0.99476635)]"
78,"[(3, 0.99038315)]"
79,"[(2, 0.98960435)]"
80,"[(4, 0.99195915)]"
81,"[(1, 0.48635927), (4, 0.5000101)]"
82,"[(2, 0.988267)]"
83,"[(1, 0.3367793), (3, 0.655155)]"
84,"[(4, 0.9914833)]"
85,"[(1, 0.993967)]"
86,"[(4, 0.99562407)]"
87,"[(3, 0.99029636)]"
88,"[(3, 0.9960337)]"
89,"[(1, 0.9904684)]"
90,"[(4, 0.9933458)]"
91,"[(1, 0.9938876)]"
92,"[(0, 0.9887529)]"
93,"[(2, 0.9936408)]"
94,"[(3, 0.9932651)]"
95,"[(0, 0.9854371)]"
96,"[(1, 0.28495446), (2, 0.70920664)]"
97,"[(0, 0.015523262), (1, 0.015469024), (2, 0.015509623), (3, 0.015483467), (4, 0.9380146)]"
